	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
Trial1.fna_assembly_LT906445.1_17	Trial1.fna_assembly	LT906445.1	17	21496	22254	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
Trial1.fna_assembly_LT906445.1_18	Trial1.fna_assembly	LT906445.1	18	22268	23206	1	C	K09824	uncharacterized protein								Protein of unknown function (DUF535) [PF04393.16]					0
Trial1.fna_assembly_LT906445.1_19	Trial1.fna_assembly	LT906445.1	19	23216	24436	1	E															0
Trial1.fna_assembly_LT906445.1_20	Trial1.fna_assembly	LT906445.1	20	24483	25661	1	C	K02847	O-antigen ligase [EC:2.4.1.-]								O-Antigen ligase [PF04932.18]					0
Trial1.fna_assembly_LT906445.1_21	Trial1.fna_assembly	LT906445.1	21	25913	27352	1	C	K16566	exopolysaccharide production protein ExoY								Bacterial sugar transferase [PF02397.19]; PglD N-terminal domain [PF17836.4]					0
Trial1.fna_assembly_LT906445.1_22	Trial1.fna_assembly	LT906445.1	22	27361	28332	1	D										Acyltransferase family [PF01757.25]					0
Trial1.fna_assembly_LT906445.1_23	Trial1.fna_assembly	LT906445.1	23	28343	29449	1	C	K01854	UDP-galactopyranose mutase [EC:5.4.99.9]								UDP-galactopyranose mutase [PF03275.16]; NAD(P)-binding Rossmann-like domain [PF13450.9]; FAD dependent oxidoreductase [PF01266.27]					0
Trial1.fna_assembly_LT906445.1_24	Trial1.fna_assembly	LT906445.1	24	29446	29538	1	E															0
Trial1.fna_assembly_LT906445.1_25	Trial1.fna_assembly	LT906445.1	25	29687	31297	1	E															0
Trial1.fna_assembly_LT906445.1_26	Trial1.fna_assembly	LT906445.1	26	31278	32048	1	D										Domain of unknown function (DUF4422) [PF14393.9]	GT111	GT111 UDP-Galf: beta-1,3-galactofuranosyltransferase (EC 2.4.1.-)	2.4.1.-	GT111.hmm	0
Trial1.fna_assembly_LT906445.1_27	Trial1.fna_assembly	LT906445.1	27	32059	33150	1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	0
Trial1.fna_assembly_LT906445.1_28	Trial1.fna_assembly	LT906445.1	28	33147	34148	1	D										Polysaccharide deacetylase [PF01522.24]	CE4	CE4 acetyl xylan esterase (EC 3.1.1.72); chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).	2.4.1.-,3.1.1.6,3.1.1.72,3.1.1.-,3.2.1.8,3.2.1.-,3.5.1.104,3.5.1.41,3.5.1.-	CE4.hmm	0
Trial1.fna_assembly_LT906445.1_29	Trial1.fna_assembly	LT906445.1	29	34161	34955	1	C	K07271	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]								LicD family [PF04991.16]					0
Trial1.fna_assembly_LT906445.1_30	Trial1.fna_assembly	LT906445.1	30	34972	35691	1	D										2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [PF01128.22]; MobA-like NTP transferase domain [PF12804.10]; Nucleotidyl transferase [PF00483.26]					0
Trial1.fna_assembly_LT906445.1_31	Trial1.fna_assembly	LT906445.1	31	35701	37209	1	E															0
Trial1.fna_assembly_LT906445.1_32	Trial1.fna_assembly	LT906445.1	32	37223	38143	1	C	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2]								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Polysaccharide biosynthesis protein [PF02719.18]; Male sterility protein [PF07993.15]; NmrA-like family [PF05368.16]; NAD(P)H-binding [PF13460.9]					0
Trial1.fna_assembly_LT906445.1_33	Trial1.fna_assembly	LT906445.1	33	38149	39204	1	D										GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Male sterility protein [PF07993.15]; RmlD substrate binding domain [PF04321.20]					0
Trial1.fna_assembly_LT906445.1_34	Trial1.fna_assembly	LT906445.1	34	39441	40517	1	D										Acyltransferase family [PF01757.25]					0
Trial1.fna_assembly_LT906445.1_35	Trial1.fna_assembly	LT906445.1	35	40584	40910	1	E															0
Trial1.fna_assembly_LT906445.1_36	Trial1.fna_assembly	LT906445.1	36	41341	42744	1	E															0
Trial1.fna_assembly_LT906445.1_37	Trial1.fna_assembly	LT906445.1	37	42793	43776	1	D			MER0294834	N04	MER0294834 - family N4 non-lyase homologues (Dialister invisus) [N04.UNW]#N04#{peptidase unit: 1000-1278}~source ZP_05734300~	False	0.387	181.0	2.7699999999999996e-48	Autotransporter beta-domain [PF03797.22]					0
Trial1.fna_assembly_LT906445.1_38	Trial1.fna_assembly	LT906445.1	38	44464	44721	-1	E															0
Trial1.fna_assembly_LT906445.1_39	Trial1.fna_assembly	LT906445.1	39	45084	46127	1	D										Inverse autotransporter, beta-domain [PF11924.11]					0
Trial1.fna_assembly_LT906445.1_40	Trial1.fna_assembly	LT906445.1	40	46387	48792	1	D										S-layer homology domain [PF00395.23]; YadA-like membrane anchor domain [PF03895.18]					0
Trial1.fna_assembly_LT906445.1_41	Trial1.fna_assembly	LT906445.1	41	48802	48912	1	E															0
Trial1.fna_assembly_LT906445.1_42	Trial1.fna_assembly	LT906445.1	42	49305	56498	1	D										YadA-like membrane anchor domain [PF03895.18]; Extended Signal Peptide of Type V secretion system [PF13018.9]; Coiled stalk of trimeric autotransporter adhesin [PF05662.17]					0
Trial1.fna_assembly_LT906445.1_43	Trial1.fna_assembly	LT906445.1	43	56586	57230	1	E															0
Trial1.fna_assembly_LT906445.1_44	Trial1.fna_assembly	LT906445.1	44	57379	57645	-1	E															0
Trial1.fna_assembly_LT906445.1_45	Trial1.fna_assembly	LT906445.1	45	57730	58128	-1	E															0
Trial1.fna_assembly_LT906445.1_46	Trial1.fna_assembly	LT906445.1	46	58464	58835	1	D										YadA-like membrane anchor domain [PF03895.18]					0
Trial1.fna_assembly_LT906445.1_47	Trial1.fna_assembly	LT906445.1	47	58899	65336	1	D										YadA-like membrane anchor domain [PF03895.18]					0
Trial1.fna_assembly_LT906445.1_48	Trial1.fna_assembly	LT906445.1	48	65412	66053	1	E															0
Trial1.fna_assembly_LT906445.1_49	Trial1.fna_assembly	LT906445.1	49	66473	71920	1	D										Extended Signal Peptide of Type V secretion system [PF13018.9]; YadA-like membrane anchor domain [PF03895.18]; Coiled stalk of trimeric autotransporter adhesin [PF05662.17]					0
Trial1.fna_assembly_LT906445.1_50	Trial1.fna_assembly	LT906445.1	50	72027	72671	1	E															0
Trial1.fna_assembly_LT906445.1_51	Trial1.fna_assembly	LT906445.1	51	72784	73050	-1	E															0
Trial1.fna_assembly_LT906445.1_52	Trial1.fna_assembly	LT906445.1	52	73753	79791	1	D										YadA-like membrane anchor domain [PF03895.18]; Extended Signal Peptide of Type V secretion system [PF13018.9]					0
Trial1.fna_assembly_LT906445.1_53	Trial1.fna_assembly	LT906445.1	53	80256	91043	1	D										YadA-like membrane anchor domain [PF03895.18]; Extended Signal Peptide of Type V secretion system [PF13018.9]					0
Trial1.fna_assembly_LT906445.1_54	Trial1.fna_assembly	LT906445.1	54	91564	101847	1	D										Extended Signal Peptide of Type V secretion system [PF13018.9]; YadA-like membrane anchor domain [PF03895.18]					0
Trial1.fna_assembly_LT906445.1_55	Trial1.fna_assembly	LT906445.1	55	101938	102687	1	E															0
Trial1.fna_assembly_LT906445.1_56	Trial1.fna_assembly	LT906445.1	56	105265	105555	-1	E															0
Trial1.fna_assembly_LT906445.1_57	Trial1.fna_assembly	LT906445.1	57	106170	106385	1	E															0
Trial1.fna_assembly_LT906445.1_58	Trial1.fna_assembly	LT906445.1	58	106776	107174	-1	E															0
Trial1.fna_assembly_LT906445.1_59	Trial1.fna_assembly	LT906445.1	59	109175	110095	1	C	K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24]								Pirin [PF02678.19]; Pirin C-terminal cupin domain [PF05726.16]					0
Trial1.fna_assembly_LT906445.1_60	Trial1.fna_assembly	LT906445.1	60	110220	110591	1	D										CGGC domain [PF08821.14]					0
Trial1.fna_assembly_LT906445.1_61	Trial1.fna_assembly	LT906445.1	61	110779	111951	1	D			MER0129897	M48X	MER0129897 - family M48 unassigned peptidases (Veillonella parvula) [M48.UPW]#M48X#{peptidase unit: 3-215}~source GEBA2500348903~	True	0.886	395.0	5.332e-121	Peptidase family M48 [PF01435.21]					0
Trial1.fna_assembly_LT906445.1_62	Trial1.fna_assembly	LT906445.1	62	112606	113217	1	C	K03561	biopolymer transport protein ExbB								MotA/TolQ/ExbB proton channel family [PF01618.19]					0
Trial1.fna_assembly_LT906445.1_63	Trial1.fna_assembly	LT906445.1	63	113214	113618	1	C	K03559	biopolymer transport protein ExbD								Biopolymer transport protein ExbD/TolR [PF02472.19]					0
Trial1.fna_assembly_LT906445.1_64	Trial1.fna_assembly	LT906445.1	64	113623	114372	1	C	K03832	periplasmic protein TonB								Gram-negative bacterial TonB protein C-terminal [PF03544.17]					0
Trial1.fna_assembly_LT906445.1_65	Trial1.fna_assembly	LT906445.1	65	114503	116956	1	C	K02014	iron complex outermembrane recepter protein	MER0182283	I39	MER0182283 - family I39 unassigned peptidase inhibitors (Desulfovibrio magneticus) [I39.UPW]#I39#{inhibitor unit: 32-163}~source BAH76254~	False	0.297	65.0	4.87e-09	TonB-dependent Receptor Plug Domain [PF07715.18]; TonB dependent receptor [PF00593.27]					0
Trial1.fna_assembly_LT906445.1_66	Trial1.fna_assembly	LT906445.1	66	116956	117978	1	D										Periplasmic binding protein [PF01497.21]					0
Trial1.fna_assembly_LT906445.1_67	Trial1.fna_assembly	LT906445.1	67	117991	119037	1	C	K02015	iron complex transport system permease protein								FecCD transport family [PF01032.21]					0
Trial1.fna_assembly_LT906445.1_68	Trial1.fna_assembly	LT906445.1	68	119037	119798	1	C	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]								ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_69	Trial1.fna_assembly	LT906445.1	69	119820	121760	1	C	K02014	iron complex outermembrane recepter protein	MER0193018	I39	MER0193018 - family I39 unassigned peptidase inhibitors (Thermanaerovibrio acidaminovorans) [I39.UPW]#I39#{inhibitor unit: 21-154}~source ACZ19745~	False	0.327	72.0	3.1e-11	TonB dependent receptor [PF00593.27]; TonB-dependent Receptor Plug Domain [PF07715.18]					0
Trial1.fna_assembly_LT906445.1_70	Trial1.fna_assembly	LT906445.1	70	121904	123886	1	C	K02014	iron complex outermembrane recepter protein	MER0193018	I39	MER0193018 - family I39 unassigned peptidase inhibitors (Thermanaerovibrio acidaminovorans) [I39.UPW]#I39#{inhibitor unit: 21-154}~source ACZ19745~	False	0.374	85.0	3.355e-15	TonB dependent receptor [PF00593.27]; TonB-dependent Receptor Plug Domain [PF07715.18]; Outer membrane protein beta-barrel family [PF14905.9]					0
Trial1.fna_assembly_LT906445.1_71	Trial1.fna_assembly	LT906445.1	71	123930	124883	1	D										Periplasmic binding protein [PF01497.21]					0
Trial1.fna_assembly_LT906445.1_72	Trial1.fna_assembly	LT906445.1	72	124876	125913	1	C	K02015	iron complex transport system permease protein								FecCD transport family [PF01032.21]					0
Trial1.fna_assembly_LT906445.1_73	Trial1.fna_assembly	LT906445.1	73	125913	126758	1	C	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]								ABC transporter [PF00005.30]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.9]					0
Trial1.fna_assembly_LT906445.1_74	Trial1.fna_assembly	LT906445.1	74	126843	127772	1	C	K03405	magnesium chelatase subunit I [EC:6.6.1.1]	MER0224119	S16	MER0224119 - family S16 unassigned peptidases (Spirochaeta thermophila) [S16.UPW]#S16#{peptidase unit: 10-167}~source YP_003874568~	False	0.695	232.0	3.6500000000000004e-66	Magnesium chelatase, subunit ChlI [PF01078.24]; AAA domain (dynein-related subfamily) [PF07728.17]; AAA lid domain [PF17863.4]; Sigma-54 interaction domain [PF00158.29]; MCM P-loop domain [PF00493.26]					0
Trial1.fna_assembly_LT906445.1_75	Trial1.fna_assembly	LT906445.1	75	127775	129790	1	D										von Willebrand factor type A domain [PF13519.9]; von Willebrand factor type A domain [PF13768.9]					0
Trial1.fna_assembly_LT906445.1_76	Trial1.fna_assembly	LT906445.1	76	129794	133417	1	C	K02230	cobaltochelatase CobN [EC:6.6.1.2]								CobN/Magnesium Chelatase [PF02514.19]					0
Trial1.fna_assembly_LT906445.1_77	Trial1.fna_assembly	LT906445.1	77	133419	134330	1	D										Periplasmic binding protein [PF01497.21]					0
Trial1.fna_assembly_LT906445.1_78	Trial1.fna_assembly	LT906445.1	78	134353	136221	1	C	K02014	iron complex outermembrane recepter protein	MER0194267	I39	MER0194267 - family I39 unassigned peptidase inhibitors (Capnocytophaga ochracea) [I39.UPW]#I39#{inhibitor unit: 32-156}~source ACU93342~	False	0.388	85.0	2.269e-15	TonB dependent receptor [PF00593.27]; TonB-dependent Receptor Plug Domain [PF07715.18]; Outer membrane protein beta-barrel family [PF14905.9]					0
Trial1.fna_assembly_LT906445.1_79	Trial1.fna_assembly	LT906445.1	79	136637	137959	1	D										Aminotransferase class I and II [PF00155.24]					0
Trial1.fna_assembly_LT906445.1_80	Trial1.fna_assembly	LT906445.1	80	138117	138578	-1	D										Helix-turn-helix domain [PF12840.10]					0
Trial1.fna_assembly_LT906445.1_81	Trial1.fna_assembly	LT906445.1	81	138967	140274	1	C	K00313	electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]								FAD binding domain [PF01494.22]; FAD dependent oxidoreductase [PF12831.10]; Lycopene cyclase protein [PF05834.15]; FAD binding domain [PF00890.27]; HI0933-like protein [PF03486.17]; FAD dependent oxidoreductase [PF01266.27]; Glucose inhibited division protein A [PF01134.25]; GMC oxidoreductase [PF00732.22]; Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; NAD(P)-binding Rossmann-like domain [PF13450.9]					0
Trial1.fna_assembly_LT906445.1_82	Trial1.fna_assembly	LT906445.1	82	140271	140549	1	C	K03855	ferredoxin like protein								Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S [PF05187.16]					0
Trial1.fna_assembly_LT906445.1_83	Trial1.fna_assembly	LT906445.1	83	140554	141543	1	C	K03521	electron transfer flavoprotein beta subunit								Electron transfer flavoprotein domain [PF01012.24]					0
Trial1.fna_assembly_LT906445.1_84	Trial1.fna_assembly	LT906445.1	84	141543	142544	1	C	K03522	electron transfer flavoprotein alpha subunit								Electron transfer flavoprotein FAD-binding domain [PF00766.22]; Electron transfer flavoprotein domain [PF01012.24]					0
Trial1.fna_assembly_LT906445.1_85	Trial1.fna_assembly	LT906445.1	85	142974	143732	1	D										short chain dehydrogenase [PF00106.28]; Enoyl-(Acyl carrier protein) reductase [PF13561.9]; KR domain [PF08659.13]					0
Trial1.fna_assembly_LT906445.1_86	Trial1.fna_assembly	LT906445.1	86	143824	144423	1	E															0
Trial1.fna_assembly_LT906445.1_87	Trial1.fna_assembly	LT906445.1	87	144470	145057	1	E															0
Trial1.fna_assembly_LT906445.1_88	Trial1.fna_assembly	LT906445.1	88	145173	146240	1	C	K02033	peptide/nickel transport system permease protein								Binding-prot-dependent transport system membrane comp, N-term [PF19300.2]					0
Trial1.fna_assembly_LT906445.1_89	Trial1.fna_assembly	LT906445.1	89	146233	147042	1	C	K02034	peptide/nickel transport system permease protein													0
Trial1.fna_assembly_LT906445.1_90	Trial1.fna_assembly	LT906445.1	90	147109	148632	1	C	K02035	peptide/nickel transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.25]					0
Trial1.fna_assembly_LT906445.1_91	Trial1.fna_assembly	LT906445.1	91	148625	149392	1	D										ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_92	Trial1.fna_assembly	LT906445.1	92	149394	150134	1	D										ABC transporter [PF00005.30]					0
Trial1.fna_assembly_LT906445.1_93	Trial1.fna_assembly	LT906445.1	93	150259	150966	1	E															0
Trial1.fna_assembly_LT906445.1_94	Trial1.fna_assembly	LT906445.1	94	151115	151585	1	E															0
Trial1.fna_assembly_LT906445.1_95	Trial1.fna_assembly	LT906445.1	95	151641	151988	-1	E															0
Trial1.fna_assembly_LT906445.1_96	Trial1.fna_assembly	LT906445.1	96	152219	152848	1	E															0
Trial1.fna_assembly_LT906445.1_97	Trial1.fna_assembly	LT906445.1	97	153208	153615	1	E															0
Trial1.fna_assembly_LT906445.1_98	Trial1.fna_assembly	LT906445.1	98	154043	155590	1	C	K01649	2-isopropylmalate synthase [EC:2.3.3.13]								HMGL-like [PF00682.22]; LeuA allosteric (dimerisation) domain [PF08502.13]					0
Trial1.fna_assembly_LT906445.1_99	Trial1.fna_assembly	LT906445.1	99	155592	156851	1	C	K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]								Aconitase family (aconitate hydratase) [PF00330.23]					0
Trial1.fna_assembly_LT906445.1_100	Trial1.fna_assembly	LT906445.1	100	156853	157344	1	C	K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]								Aconitase C-terminal domain [PF00694.22]					0
Trial1.fna_assembly_LT906445.1_101	Trial1.fna_assembly	LT906445.1	101	157628	158698	1	C	K00052	3-isopropylmalate dehydrogenase [EC:1.1.1.85]								Isocitrate/isopropylmalate dehydrogenase [PF00180.23]					0
Trial1.fna_assembly_LT906445.1_102	Trial1.fna_assembly	LT906445.1	102	158929	159468	1	C	K16788	niacin transporter													0
Trial1.fna_assembly_LT906445.1_103	Trial1.fna_assembly	LT906445.1	103	159778	160965	1	C	K12264	anaerobic nitric oxide reductase flavorubredoxin								Metallo-beta-lactamase superfamily [PF00753.30]; Flavodoxin [PF00258.28]; Metallo-beta-lactamase superfamily domain [PF16661.8]; ODP family beta lactamase [PF19583.2]; Beta-lactamase superfamily domain [PF12706.10]; Flavodoxin domain [PF12724.10]					0
